state,municipality,county,population,latitude,longitude
MO,Stotts City city,Lawrence County,172,37.10178,-93.948284
MO,Stoutland city,Camden County,214,37.813205,-92.516978
MO,Stoutsville village,Monroe County,37,39.548869,-91.856804
MO,Stover city,Morgan County,1049,38.441813,-92.990138
MO,Strafford city,Greene County,2703,37.269013,-93.117968
MO,Strasburg city,Cass County,115,38.759888,-94.164837
MO,Sturgeon city,Boone County,945,39.234667,-92.282017
MO,Sugar Creek city,Jackson County,3204,39.139505,-94.408507
MO,Sullivan city,Franklin County,6829,38.212893,-91.163616
MO,Summersville city,Texas County,469,37.178547,-91.657691
MO,Sumner town,Chariton County,79,39.656058,-93.243431
MO,Sunrise Beach village,Camden County,502,38.162751,-92.781963
MO,Sunset Hills city,St. Louis County,9041,38.531246,-90.409285
MO,Sweet Springs city,Saline County,1309,38.964279,-93.416504
MO,Sycamore Hills village,St. Louis County,545,38.701246,-90.349028
MO,Syracuse city,Morgan County,159,38.669568,-92.876329
MO,Tallapoosa city,New Madrid County,74,36.50606,-89.817
MO,Taneyville village,Taney County,275,36.73769,-93.03542
MO,Taos city,Cole County,1167,38.500084,-92.092069
MO,Tarkio city,Atchison County,1458,40.442988,-95.383516
MO,Thayer city,Oregon County,1898,36.522362,-91.540781
MO,Theodosia village,Ozark County,200,36.579889,-92.664568
MO,Three Creeks village,Warren County,6,38.573008,-90.992736
MO,Tightwad village,Henry County,60,38.305763,-93.542298
MO,Tina village,Carroll County,136,39.537885,-93.441318
MO,Tindall town,Grundy County,47,40.160878,-93.609654
MO,Tipton city,Moniteau County,2637,38.655059,-92.781266
MO,Town and Country city,St. Louis County,11553,38.630602,-90.477191
MO,Tracy city,Platte County,315,39.377467,-94.791152
MO,Trenton city,Grundy County,5622,40.081255,-93.602387
MO,Trimble city,Clinton County,639,39.476085,-94.561948
MO,Triplett city,Chariton County,36,39.498355,-93.19386
MO,Troy city,Lincoln County,14591,38.969985,-90.967467
MO,Truesdale city,Warren County,923,38.813115,-91.12213
MO,Truxton village,Lincoln County,67,39.004591,-91.23897
MO,Turney village,Clinton County,124,39.637603,-94.321028
MO,Tuscumbia town,Miller County,191,38.237061,-92.46004
MO,Twin Oaks village,St. Louis County,585,38.565764,-90.500958
MO,Umber View Heights village,Cedar County,40,37.623402,-93.803555
MO,Union Star town,DeKalb County,378,39.979417,-94.598246
MO,Union city,Franklin County,13000,38.437882,-90.995801
MO,Unionville city,Putnam County,1709,40.475708,-93.004416
MO,Unity Village village,Jackson County,63,38.958952,-94.400935
MO,University City city,St. Louis County,34096,38.665732,-90.33155
MO,Uplands Park village,St. Louis County,304,38.692709,-90.282849
MO,Urbana city,Dallas County,403,37.843454,-93.167562
MO,Urich city,Henry County,473,38.460417,-93.998985
MO,Utica village,Livingston County,218,39.745582,-93.6286
MO,Valley Park city,St. Louis County,6725,38.550005,-90.495917
MO,Van Buren town,Carter County,761,37.014426,-91.00688
MO,Vandalia city,Audrain County,2959,39.308127,-91.489488
MO,Vandiver village,Audrain County,62,39.16115,-91.847592
MO,Vanduser village,Scott County,185,36.991037,-89.686519
MO,Velda City city,St. Louis County,1245,38.694105,-90.293443
MO,Velda Village Hills city,St. Louis County,849,38.69216,-90.287661
MO,Verona town,Lawrence County,516,36.962207,-93.790442
MO,Versailles city,Morgan County,2639,38.433449,-92.846034
MO,Viburnum city,Iron County,658,37.715059,-91.130767
MO,Vienna city,Maries County,576,38.187826,-91.950601
MO,Village of Four Seasons village,Camden County,2496,38.196203,-92.713614
MO,Vinita Park city,St. Louis County,1926,38.688789,-90.33922
MO,Vista village,St. Clair County,36,37.988826,-93.664195
MO,Waco city,Jasper County,74,37.246952,-94.600279
MO,Walker city,Vernon County,201,37.898907,-94.231125
MO,Walnut Grove city,Greene County,640,37.411233,-93.547976
MO,Wardell town,Pemiscot County,286,36.353808,-89.815302
MO,Wardsville village,Cole County,1631,38.491807,-92.182485
MO,Warrensburg city,Johnson County,19673,38.762381,-93.725337
MO,Warrenton city,Warren County,9298,38.819056,-91.137933
MO,Warsaw city,Benton County,2328,38.249274,-93.367038
MO,Warson Woods city,St. Louis County,1982,38.606827,-90.39125
MO,Washburn city,Barry County,412,36.588812,-93.965698
MO,Washington city,Franklin County,15450,38.551919,-91.015491
MO,Watson village,Atchison County,56,40.479906,-95.62348
MO,Waverly city,Lafayette County,801,39.207007,-93.518133
MO,Wayland city,Clark County,420,40.396301,-91.575443
MO,Waynesville city,Pulaski County,5455,37.81943,-92.219262
MO,Weatherby Lake city,Platte County,2111,39.234359,-94.696135
MO,Weatherby town,DeKalb County,78,39.909263,-94.242172
MO,Weaubleau city,Hickory County,396,37.891207,-93.539457
MO,Webb City city,Jasper County,13325,37.141143,-94.467586
MO,Webster Groves city,St. Louis County,23449,38.586599,-90.354414
MO,Weldon Spring Heights town,St. Charles County,92,38.704287,-90.685303
MO,Weldon Spring city,St. Charles County,5263,38.709381,-90.652536
MO,Wellington city,Lafayette County,754,39.142358,-93.98631
MO,Wellston city,St. Louis County,1583,38.675007,-90.294049
MO,Wellsville city,Montgomery County,1006,39.073202,-91.568904
MO,Wentworth village,Newton County,99,36.993218,-94.075485
MO,Wentzville city,St. Charles County,47497,38.816452,-90.870758
MO,West Alton city,St. Charles County,350,38.862927,-90.203943
MO,West Line village,Cass County,113,38.635748,-94.586958
MO,West Plains city,Howell County,12598,36.73743,-91.867957
MO,West Sullivan town,Crawford County,280,38.191972,-91.191726
MO,Westboro city,Atchison County,112,40.53505,-95.321106
MO,Weston city,Platte County,1811,39.404135,-94.891259
MO,Westphalia city,Osage County,377,38.441452,-91.998657
MO,Westwood village,St. Louis County,308,38.643489,-90.433486
MO,Wheatland city,Hickory County,287,37.940965,-93.39751
MO,Wheaton city,Barry County,677,36.761613,-94.056991
MO,Wheeling city,Livingston County,223,39.786065,-93.386011
MO,Whiteside village,Lincoln County,61,39.183969,-91.01553
MO,Whitewater town,Cape Girardeau County,85,37.236766,-89.797842
MO,Wilbur Park village,St. Louis County,423,38.55319,-90.308732
MO,Wildwood city,St. Louis County,34851,38.577073,-90.667807
MO,Willard city,Greene County,6521,37.292977,-93.417054
MO,Williamsville city,Wayne County,272,36.973654,-90.547828
MO,Willow Springs city,Howell County,2219,36.986728,-91.961517
MO,Wilson City village,Mississippi County,75,36.923591,-89.223016
MO,Winchester city,St. Louis County,1403,38.589702,-90.526066
MO,Windsor Place village,Cooper County,357,38.934258,-92.703119
MO,Windsor city,Henry County,2844,38.532265,-93.522945
MO,Winfield city,Lincoln County,1602,38.99229,-90.74513
MO,Winona city,Shannon County,981,37.004151,-91.326962
MO,Winston village,Daviess County,235,39.869946,-94.141744
MO,Wood Heights city,Ray County,754,39.341727,-94.163048
