state,county,cbsa_code,cbsa_title,cbsa_population
AZ,Yuma County,49740,"Yuma, AZ",213221
CA,Alameda County,41860,"San Francisco-Oakland-Fremont, CA",4566961
CA,Butte County,17020,"Chico, CA",207172
CA,Contra Costa County,41860,"San Francisco-Oakland-Fremont, CA",4566961
CA,El Dorado County,40900,"Sacramento-Roseville-Folsom, CA",2420608
CA,Fresno County,23420,"Fresno, CA",1180020
CA,Imperial County,20940,"El Centro, CA",179057
CA,Kern County,12540,"Bakersfield-Delano, CA",913820
CA,Kings County,25260,"Hanford-Corcoran, CA",152682
CA,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",12799100
CA,Madera County,23420,"Fresno, CA",1180020
CA,Marin County,41860,"San Francisco-Oakland-Fremont, CA",4566961
CA,Merced County,32900,"Merced, CA",291920
CA,Monterey County,41500,"Salinas, CA",430723
CA,Napa County,34900,"Napa, CA",133216
CA,Orange County,31080,"Los Angeles-Long Beach-Anaheim, CA",12799100
CA,Placer County,40900,"Sacramento-Roseville-Folsom, CA",2420608
CA,Riverside County,40140,"Riverside-San Bernardino-Ontario, CA",4688053
CA,Sacramento County,40900,"Sacramento-Roseville-Folsom, CA",2420608
CA,San Benito County,41940,"San Jose-Sunnyvale-Santa Clara, CA",1945767
CA,San Bernardino County,40140,"Riverside-San Bernardino-Ontario, CA",4688053
CA,San Diego County,41740,"San Diego-Chula Vista-Carlsbad, CA",3269973
CA,San Francisco County,41860,"San Francisco-Oakland-Fremont, CA",4566961
CA,San Joaquin County,44700,"Stockton-Lodi, CA",800965
CA,San Luis Obispo County,42020,"San Luis Obispo-Paso Robles, CA",281639
CA,San Mateo County,41860,"San Francisco-Oakland-Fremont, CA",4566961
CA,Santa Barbara County,42200,"Santa Maria-Santa Barbara, CA",441257
CA,Santa Clara County,41940,"San Jose-Sunnyvale-Santa Clara, CA",1945767
CA,Santa Cruz County,42100,"Santa Cruz-Watsonville, CA",261547
CA,Shasta County,39820,"Redding, CA",180366
CA,Solano County,46700,"Vallejo, CA",449218
CA,Sonoma County,42220,"Santa Rosa-Petaluma, CA",481812
CA,Stanislaus County,33700,"Modesto, CA",551430
CA,Sutter County,49700,"Yuba City, CA",183670
CA,Tulare County,47300,"Visalia, CA",479468
CA,Ventura County,37100,"Oxnard-Thousand Oaks-Ventura, CA",829590
CA,Yolo County,40900,"Sacramento-Roseville-Folsom, CA",2420608
CA,Yuba County,49700,"Yuba City, CA",183670
CO,Adams County,19740,"Denver-Aurora-Centennial, CO",3005131
CO,Arapahoe County,19740,"Denver-Aurora-Centennial, CO",3005131
CO,Boulder County,14500,"Boulder, CO",326831
CO,Broomfield County,19740,"Denver-Aurora-Centennial, CO",3005131
CO,Clear Creek County,19740,"Denver-Aurora-Centennial, CO",3005131
CO,Denver County,19740,"Denver-Aurora-Centennial, CO",3005131
CO,Douglas County,19740,"Denver-Aurora-Centennial, CO",3005131
CO,El Paso County,17820,"Colorado Springs, CO",768832
CO,Elbert County,19740,"Denver-Aurora-Centennial, CO",3005131
CO,Gilpin County,19740,"Denver-Aurora-Centennial, CO",3005131
CO,Jefferson County,19740,"Denver-Aurora-Centennial, CO",3005131
CO,Larimer County,22660,"Fort Collins-Loveland, CO",370771
CO,Mesa County,24300,"Grand Junction, CO",159681
CO,Park County,19740,"Denver-Aurora-Centennial, CO",3005131
CO,Pueblo County,39380,"Pueblo, CO",169422
CO,Teller County,17820,"Colorado Springs, CO",768832
CO,Weld County,24540,"Greeley, CO",359442
CT,Capitol Planning Region,25540,"Hartford-West Hartford-East Hartford, CT",1151543
CT,Greater Bridgeport Planning Region,14860,"Bridgeport-Stamford-Danbury, CT",951558
CT,Lower Connecticut River Valley Planning Region,25540,"Hartford-West Hartford-East Hartford, CT",1151543
CT,Naugatuck Valley Planning Region,47930,"Waterbury-Shelton, CT",456128
CT,South Central Connecticut Planning Region,35300,"New Haven, CT",568158
CT,Southeastern Connecticut Planning Region,35980,"Norwich-New London-Willimantic, CT",279634
CT,Western Connecticut Planning Region,14860,"Bridgeport-Stamford-Danbury, CT",951558
DC,District of Columbia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6304975
DE,Kent County,20100,"Dover, DE",189789
DE,New Castle County,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6246160
FL,Alachua County,23540,"Gainesville, FL",352126
FL,Baker County,27260,"Jacksonville, FL",1713240
FL,Bay County,37460,"Panama City-Panama City Beach, FL",216371
FL,Brevard County,37340,"Palm Bay-Melbourne-Titusville, FL",643979
FL,Broward County,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",6183199
FL,Charlotte County,39460,"Punta Gorda, FL",206134
FL,Citrus County,26140,"Homosassa Springs, FL",166696
FL,Clay County,27260,"Jacksonville, FL",1713240
FL,Collier County,34940,"Naples-Marco Island, FL",404310
FL,Duval County,27260,"Jacksonville, FL",1713240
FL,Escambia County,37860,"Pensacola-Ferry Pass-Brent, FL",530090
FL,Flagler County,19660,"Deltona-Daytona Beach-Ormond Beach, FL",721796
FL,Gadsden County,45220,"Tallahassee, FL",392645
FL,Gilchrist County,23540,"Gainesville, FL",352126
FL,Hernando County,45300,"Tampa-St. Petersburg-Clearwater, FL",3342963
FL,Highlands County,42700,"Sebring, FL",107614
FL,Hillsborough County,45300,"Tampa-St. Petersburg-Clearwater, FL",3342963
FL,Indian River County,42680,"Sebastian-Vero Beach-West Vero Corridor, FL",169795
FL,Jefferson County,45220,"Tallahassee, FL",392645
FL,Lake County,36740,"Orlando-Kissimmee-Sanford, FL",2817933
FL,Lee County,15980,"Cape Coral-Fort Myers, FL",834573
FL,Leon County,45220,"Tallahassee, FL",392645
FL,Levy County,23540,"Gainesville, FL",352126
FL,Manatee County,35840,"North Port-Bradenton-Sarasota, FL",910108
FL,Marion County,36100,"Ocala, FL",409959
FL,Martin County,38940,"Port St. Lucie, FL",536901
FL,Miami-Dade County,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",6183199
FL,Nassau County,27260,"Jacksonville, FL",1713240
FL,Okaloosa County,18880,"Crestview-Fort Walton Beach-Destin, FL",304818
FL,Orange County,36740,"Orlando-Kissimmee-Sanford, FL",2817933
FL,Osceola County,36740,"Orlando-Kissimmee-Sanford, FL",2817933
FL,Palm Beach County,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",6183199
FL,Pasco County,45300,"Tampa-St. Petersburg-Clearwater, FL",3342963
FL,Pinellas County,45300,"Tampa-St. Petersburg-Clearwater, FL",3342963
FL,Polk County,29460,"Lakeland-Winter Haven, FL",818330
FL,Santa Rosa County,37860,"Pensacola-Ferry Pass-Brent, FL",530090
FL,Sarasota County,35840,"North Port-Bradenton-Sarasota, FL",910108
FL,Seminole County,36740,"Orlando-Kissimmee-Sanford, FL",2817933
FL,St. Johns County,27260,"Jacksonville, FL",1713240
FL,St. Lucie County,38940,"Port St. Lucie, FL",536901
FL,Sumter County,48680,"Wildwood-The Villages, FL",151565
FL,Volusia County,19660,"Deltona-Daytona Beach-Ormond Beach, FL",721796
FL,Wakulla County,45220,"Tallahassee, FL",392645
FL,Walton County,18880,"Crestview-Fort Walton Beach-Destin, FL",304818
FL,Washington County,37460,"Panama City-Panama City Beach, FL",216371
GA,Barrow County,12060,"Atlanta-Sandy Springs-Roswell, GA",6307261
GA,Bartow County,12060,"Atlanta-Sandy Springs-Roswell, GA",6307261
GA,Bibb County,31420,"Macon-Bibb County, GA",236074
GA,Brantley County,15260,"Brunswick-St. Simons, GA",116074
GA,Brooks County,46660,"Valdosta, GA",151118
GA,Bryan County,42340,"Savannah, GA",424935
GA,Burke County,12260,"Augusta-Richmond County, GA-SC",629429
GA,Butts County,12060,"Atlanta-Sandy Springs-Roswell, GA",6307261
GA,Carroll County,12060,"Atlanta-Sandy Springs-Roswell, GA",6307261
GA,Catoosa County,16860,"Chattanooga, TN-GA",580971
GA,Chatham County,42340,"Savannah, GA",424935
GA,Chattahoochee County,17980,"Columbus, GA-AL",323768
GA,Cherokee County,12060,"Atlanta-Sandy Springs-Roswell, GA",6307261
GA,Clarke County,12020,"Athens-Clarke County, GA",222060
GA,Clayton County,12060,"Atlanta-Sandy Springs-Roswell, GA",6307261
GA,Cobb County,12060,"Atlanta-Sandy Springs-Roswell, GA",6307261
GA,Columbia County,12260,"Augusta-Richmond County, GA-SC",629429
